"ColorName","ColorId","ColorHex"
"Azul-simpatia","V009","#C6DDE0"
"Iô-iô","F009","#C0DADC"
"Espírito Livre","E545","#AFD6E4"
"Gotas de Orvalho","A546","#DCE8E2"
"Ninho Refrescante","F012","#DAE7DF"
"Tudo Azul","C546","#C9E4E4"
"Lagoa Sagrada","G012","#C1DDE1"
"Passeio nas Nuvens","V012","#BFD7DB"
"Sopro Gelado","F030","#DCE4DD"
"Pacífico","F016","#CDE0E0"
"Doce Mar","C547","#CDE2E8"
"Luz da Manhã","F015","#C6DCDE"
"Suspiro do Céu","E547","#C4E0EA"
"Angra dos Reis","G016","#BAD9DF"
"Montão de Trigo","G015","#B5D4DB"
"Jasmim-branco","A548","#E7E7E7"
"Inverno Iminente","F024","#D9DEE0"
"Azul-passageiro","G024","#CCD7DE"
"Brisa do Campo","D548","#CBD6E5"
"Pétala Delicada","V023","#CFD4DE"
"Sais de Banho","P548","#C6CCDE"
"Jardim de Lavanda","H024","#C7CDE0"
"Cravo-branco","A549","#EAE9EB"
"Acalanto","B549","#E2E2EC"
"Sopro de Inverno","C549","#DDDCE1"
"Espaço Sideral","D549","#CCCEDB"
"Saudade","G023","#CDD1DF"
"Cegonha","A401","#E9E5E9"
"Dança das Fadas","B550","#E2DEE1"
"Romance Sereno","V147","#DCD6DA"
"Sinceridade","G147","#E0D6E0"
"Doce Inspiração","V148","#DDD4DD"
"Duquesa","P550","#D5CEDE"
"Harmonia Lilás","H147","#D6CBDA"
"Boas Lembranças","A551","#EEE8E9"
"Aromaterapia","B551","#E0DDE4"
"Sorvete Italiano","C551","#DFDBE1"
"Olhar Misterioso","V150","#DED7DA"
"Doçura Romântica","E551","#DAD5E3"
"Rosa-místico","G148","#DCD1DF"
"Doce Marshmallow","A552","#EFE7E8"
"Fita de Seda","B552","#F1E2E6"
"Rosa-marquesa","C552","#EAD7DB"
"Abraço Sossegado","D552","#E7DBDF"
"Carinho de Mãe","G150","#E5D6DB"
"Longo Amor","P552","#E4CDD5"
"Sorbet de Morango","R552","#DCC0CB"
"Rosa Suave","A553","#EDE4EB"
"Infância Feliz","B553","#EDE2EA"
"Carinho Intenso","C553","#EADADC"
"Rosa-atrevido","D553","#EED8D9"
"Sorriso de Criança","E553","#EACDD1"
"Cerejeira Asiática","P553","#E4C7CE"
"Dama de Honra","A006","#EFE8DA"
"Coliseu de Roma","B006","#ECE5D9"
"Lua Cheia","A202","#EAE4D9"
"Vulcão Osorno","Z080","#EDE7DE"
"Cookie","A148","#E9E3D9"
"Montanhas Rochosas","A147","#EDE7D9"
"Lua Crescente","D202","#E8E0CE"
"Calcário","A177","#E7DCD2"
"Amor-sem-fim","A088","#E7DED7"
"Via-láctea","A097","#E6DED6"
"Pirâmides do Egito","B147","#E4DDD0"
"Areia do Deserto","B166","#E3DACD"
"Lascas de Macadâmia","A378","#E6DCCD"
"Aroma de Café","F101","#E4DBCC"
"Equinócio","A167","#E8E1D4"
"Noviça","B007","#E9E2D9"
"Incenso de Sândalo","A149","#E7E2DA"
"Algodão Egípcio","F100","#EAE3D5"
"Centeio","A150","#E6E1D6"
"Lua Nova","A163","#E6E1D7"
"Lua Minguante","F103","#E6E3D8"
"Beladona","A355","#E7DCE8"
"Flor-de-mandacaru","A361","#F4DDE9"
"Flor-de-pessegueiro","B361","#EFCDE4"
"Canção de Ninar","A226","#F2D5E4"
"Rosa-cremoso","B226","#EEC8DD"
"Delícia de Morango","B227","#F3D1E2"
"Rosa-biquíni","C227","#EFBCD5"
"Conto de Fadas","B228","#F3D4DE"
"Sachê-de-rosas","C101","#EABCCD"
"Pérola-rosa","A098","#ECD0D5"
"Beijo-de-anjo","A227","#F6DDE8"
"Bodas de Diamante","B096","#E2D5DA"
"Flor-de-maio","C097","#D6C4CA"
"Cacatua Rosa","A233","#EFD9DE"
"Iogurte de Morango","B098","#EEC9D2"
"Caleidoscópio","B102","#EAC2C9"
"Algodão Colorido","B095","#E6D0D2"
"Castiçal","B100","#E8D5D6"
"Sapatilha de Ponta","A101","#ECD4D7"
"Rosa Menina","B239","#EACED2"
"Bordado Rosa","C239","#E9C4C6"
"Pedaço do Céu","Z018","#EABDBC"
"Talco Rosa","A573","#F7CBD0"
"Tutti Frutti","B241","#FFCED4"
"Rosa-neon","C241","#FFB6C0"
"Pavê Gelado","B103","#F2D5D5"
"Rosa Sapatilha","B104","#F2CCCB"
"Rosa-bebê","A242","#F1DCDB"
"Linha de Crochê","A113","#F4CCC3"
"Amarilis","S135","#F0BBAF"
