"ColorName","ColorId","ColorHex"
"Palco Central","SW6920","#b2c216"
"Limão Elétrico","SW6921","#9aba25"
"Folha de Bananeira","SW6924","#3f8a24"
"Suco de Mastruz","SW6925","#358c3f"
"Verde da Sorte","SW6926","#238652"
"Área Verde","SW6927","#017244"
"Verde Céu","SW6701","#eee3b2"
"Coquetel Cítrico","SW6702","#e6d88e"
"Mangaba Verde","SW6703","#d9c661"
"Limão Refrescante","SW9030","#cebc55"
"Verde Sustentável","SW6704","#c4b146"
"Azeite Trufado","SW6705","#ac9825"
"Pomar","SW6706","#9c8b1f"
"Manhã Verde","SW6708","#e9e5b3"
"Uva Itália","SW6709","#dad790"
"Manhã de Primavera","SW9031","#d2d083"
"Bolo Funcional","SW6710","#c4c476"
"Araticum-do-campo","SW6711","#b4b05a"
"Verde Luau","SW6712","#989746"
"Verdejante","SW6713","#847e35"
"Torta de Limão","SW6715","#dce1b8"
"Verde Festivo","SW6716","#c5cd8f"
"Caipirinha de Limão","SW6717","#afb96a"
"Verde Primavera","SW9032","#9fac5c"
"Vitamina de Abacate","SW6718","#97a554"
"Iguana","SW6719","#7a8833"
"Jiló","SW6720","#6c7b30"
"Verde Enlace","SW6729","#d7e3ca"
"Alface-romana","SW6730","#c0d2ad"
"Verde Chiclete","SW9033","#abca99"
"Piquenique","SW6731","#99c285"
"Trevo-de-quatro-folhas","SW6732","#7fac6e"
"Verde Grama","SW6733","#4f854a"
"Verde Coqueiro","SW6734","#2f5f3a"
"Pepino","SW6722","#d3dfc3"
"Jardim Singelo","SW6723","#bdd0ab"
"Floreira de Pátina","SW9034","#a9c095"
"Mix de Folhas","SW6724","#9db682"
"Picles","SW6725","#85a16a"
"Palmeira-imperial","SW6726","#648149"
"Samambaia Verde","SW6727","#58713f"
"Verde Açucarado","SW6736","#cce2ca"
"Kiwi Verde","SW6737","#aed2b0"
"Vegano","SW6738","#8ec298"
"Esmeralda Bruta","SW9035","#78b185"
"Movimento Ecológico","SW6739","#68a678"
"Montes Verdes","SW6740","#498555"
"Verde Palmeira","SW6741","#245e36"
"Coquetel de Limão","SW6743","#d1e3d2"
"Aroma de Menta","SW6744","#b7d7bf"
"Menta Vintage","SW9036","#9fcdb1"
"Verde Gaio","SW6745","#8ac1a1"
"Coquetel de Hortelã","SW6746","#57aa80"
"Verde Floresta","SW6747","#348a5d"
"Verde Natureza","SW6748","#016844"
"Aipo","SW6421","#e0ddbd"
"Sabedoria do Universo","SW6422","#cbc99d"
"Repolho Chinês","SW9037","#bbb98a"
"Azevém","SW6423","#aeac7a"
"Lança-de-são-jorge","SW6424","#95945c"
"Oliva Vigoroso","SW6425","#71713e"
"Boina Verde","SW6426","#5f6033"
"Frescor Irresistível","SW6428","#dbddbd"
"Lenço Verde","SW6429","#c7cda8"
"Verde Botânico","SW6430","#abb486"
"Abobrinha Italiana","SW9038","#9ba373"
"Cambalhota","SW6431","#88915d"
"Melodia no Jardim","SW6432","#6d7645"
"Mate Amargo","SW6433","#576238"
"Experiência Verde","SW6435","#dae2cd"
"Picolé de Limão","SW6436","#c5d1b2"
"Recanto","SW6437","#a3b48c"
"Brócolis","SW9039","#8fa277"
"Endro","SW6438","#788d60"
"Zona Rural","SW6439","#60724f"
"Quinta das Oliveiras","SW6440","#475842"
"Verde Básico","SW6442","#cfddc7"
"Tempero Caseiro","SW6443","#b3cbaa"
"Verde Descanso","SW6444","#8ba97f"
"Vale Encantado","SW9040","#75946b"
"Caminhos do Sul","SW6445","#5e7f57"
"Rúcula","SW6446","#42603c"
"Floresta Tropical","SW6447","#405840"
"Amanhecer Esmeralda","SW6449","#c8d8c4"
"Verde Singular","SW6450","#acc2a8"
"Nana Nenê","SW6451","#98b092"
"Ágata Verde","SW7742","#8ea486"
"Mata Nativa","SW6452","#6c8867"
"Coentro","SW6453","#537150"
"Flora Brasileira","SW6454","#205134"
"Verde Tardio","SW6456","#c6d5c9"
"Verde Amável","SW6457","#aac2b3"
"Repousante","SW6458","#91af9d"
"Pátina Parisiense","SW9041","#7d9b89"
"Verde Envelhecido","SW6459","#61826c"
"Couve-verde","SW6460","#4f6a56"
"Floresta de Pinheiros","SW6461","#3d5541"
"Recreio","SW6463","#c4d9ce"
"Aloe Vera","SW6464","#accabc"
"Manjerona","SW6465","#94b5a6"
"Verde Liberdade","SW9042","#81a595"
"Vida Verde","SW6466","#6b927f"
"Verde Arcaico","SW6467","#547867"
"Clube de Caça","SW6468","#2a4f43"
"Laranja-seleta","SW6904","#f8ac1d"
"Canarinho","SW6905","#fdb702"
"Dia de Sol","SW6902","#fdcc4e"
"Sol Eterno","SW6907","#ffc801"
"Lima-da-pérsia","SW6909","#fed95d"
"Bombocado","SW6910","#fed340"
"Amarelo Confiante","SW6911","#fecb01"
"CROMO SUAVE"," 41","#f3cc95"
"OCRE","71","#fffebd"
"AMARELO DEMARCAÇÃO","02","#fad668"
"RAIO DE SOL","56","#ffffd3"
"VERDE ECO (FOSCO)","61","#CDE1B0"
"AMARELO","40","#fdb81c"
"VERDE LIMÃO"," 60","#B4DA6B"
"AMARELO CAJÚ","55","#ffef5b"
