"ColorName","ColorId","ColorHex"
"Mosaico","2383E","#6F8FB5"
"Sete Mares","2384E","#59799F"
"Céu Estrelado","2385E","#3C4C66"
"Brisa Sutil","2386E","#E9EDEC"
"Geleira","2387E","#CFDDE8"
"Mar do Caribe","2388E","#AFCBE3"
"Espelho do Céu","2389E","#86A8D5"
"Crista da Onda","2390E","#5F91C6"
"Energia Cósmica","2391E","#4C79B4"
"Meia-Noite","2392E","#344E73"
"Gotas de Ciano","2393E","#DCEBF0"
"Azul Egeu","2394E","#CDE3F0"
"Costa do Sauipe","2395E","#ACCDEC"
"Turquesa","2396E","#8CB3DE"
"Azzurra","2397E","#4986C7"
"Caprichoso","2398E","#427CBC"
"Olímpico","2399E","#305790"
"Poeira Estelar","2400E","#ECEDE8"
"Pó de Cristal","2401E","#CCDEEA"
"Horizonte","2402E","#AFCDE7"
"Enseada","2403E","#8BB4D4"
"Estádio","2404E","#568FC4"
"Trovão","2405E","#427BB2"
"Mergulho Profundo","2406E","#374067"
"Azul Soneto","2407E","#E7EFF1"
"Florada","2408E","#C9E3F0"
"Mito","2409E","#A8D0E9"
"Rhodes","2410E","#69B0E8"
"Arara Azul","2411E","#3398CE"
"Arquipélago","2412E","#2A82C1"
"Carnaval","2413E","#206AA9"
"Cascata de Gelo","2414E","#C7DADE"
"Azul Marquês","2415E","#BEDBEB"
"Queda de Rio","2416E","#9CC6DE"
"Dia Chuvoso","2417E","#84BBDA"
"Lago Espelhado","2418E","#66A6C9"
"Telha de Mosaico","2419E","#2D88B7"
"Índigo","2420E","#3C4C63"
"Nevasca","2421E","#CEDCDD"
"Calmaria","2422E","#C0D2DE"
"Flor Gêmea","2423E","#A4BECD"
"Sonolência","2424E","#82A1B3"
"Entardecer","2425E","#5A7E94"
"Sono Profundo","2426E","#4E7386"
"Mar Revolto","2427E","#3F4953"
"Adorável Amanhecer","2428E","#E1EAE9"
"Aquarela","2429E","#C0DCEA"
"Cintilante","2430E","#A4C9E4"
"Jardim da Glória","2431E","#79AAC8"
"Sonho do Marinheiro","2432E","#4C90B3"
"Cheiro de Jasmim","2433E","#376F92"
"Chique","2434E","#175878"
"Lealdade","2435E","#E0EAE9"
"Angelical","2436E","#C5E1EC"
"Rica Fonte","2437E","#AADBE9"
"Piscina Olímpica","2438E","#6DC0E0"
"Correnteza","2439E","#3AA5C5"
"Caminho do Mar","2440E","#0093C2"
"Perseu","2441E","#275275"
"Topo da Montanha","2442E","#DFE8E5"
"Castelo de Gelo","2443E","#C6D9DD"
"Esperança","2444E","#ABC6CF"
"Costeira","2445E","#80A8B2"
"Neblina da Manhã","2446E","#628895"
"Joia do Nilo","2447E","#4D7982"
"Força Viking","2448E","#394E53"
"Lágrima","2449E","#E6F0EF"
"Tempo Aberto","2450E","#B6D6E1"
"Brisa de Primavera","2451E","#93C7D2"
"Arrecife","2452E","#7EB0BB"
"Folhas de Salgueiro","2453E","#4A98A2"
"Peixe-Beta","2454E","#418091"
"Península","2455E","#245F65"
"Lírico","2456E","#D0EAE7"
"Passeio de Barco","2457E","#BCE3E8"
"Vale das Estrelas","2458E","#87CFDB"
"Brilho Intenso","2459E","#5AC0CF"
"Raio Cósmico","2460E","#1EA5B9"
"Pedra Preciosa","2461E","#009BB1"
"Céu de Danúbio","2462E","#006C80"
"Chuvisco","2463E","#DDECE7"
"Simplicidade","2464E","#C2E2DF"
"Aquário","2465E","#9DCED5"
"Seda da China","2466E","#6FB1BD"
"Mariner","2467E","#4A96A6"
"Brilho Esmeralda","2468E","#358390"
"Bolinha de Gude","2469E","#1C5E6E"
"Serenidade","2470E","#E1F2E8"
"Água de Cristal","2471E","#C9E8EA"
"Rocha Ígnea","2472E","#9BDDDC"
"Praia de Bora-Bora","2473E","#7ED4D5"
"Véu de Jade","2474E","#4BC1C5"
"Cruzeiro Oceânico","2475E","#00A4A1"
"Sabor de Menta","2476E","#007775"
"Brisa do Mar","2477E","#D2F1E9"
"Verde Chá","2478E","#BBE8E3"
"Energizante","2479E","#91DCD7"
"Dança Envolvente","2480E","#59C7C4"
"Mar Jamaicano","2481E","#14B5B0"
"Verde Caribe","2482E","#02A29A"
"Ilha de Marajó","2483E","#1C6260"
"Cristal Branco","2484E","#E3E6DD"
"Mata Sinuosa","2485E","#BFDCD7"
"Topo do Pinheiro","2486E","#B3D3D0"
"Pinho do Campo","2487E","#90B7B6"
"Bálsamo","2488E","#64938D"
"Soldado","2489E","#577E7D"
"Odisseia","2490E","#445D62"
"Água Bela","2491E","#D5F1E5"
"Essência","2492E","#B9E2DC"
"Licor de Hortelã","2493E","#A8DBD6"
"Doce de Menta","2494E","#83C6BF"
"Prazer da Natureza","2495E","#66B5AF"
"Aspargo","2496E","#379388"
"Bandeira","2497E","#07666A"
"Banho de Piscina","2498E","#E1F1EE"
"Hortelã Refrescante","2499E","#CAEDE7"
"Verde Água","2500E","#ACEADD"
"Fotossíntese","2501E","#74CFC6"
"Campo dos Sonhos","2502E","#26BFAB"
"Sereia","2503E","#00B194"
"Vegetariano","2504E","#007863"
"Raspas de Coco","2505E","#EAF1EA"
"Saída de Praia","2506E","#D2ECE3"
"Frescor da Floresta","2507E","#B8E2D8"
"Piscina Verde","2508E","#99D1C8"
"Pedra Jade","2509E","#3E9487"
"Óleo de Citronela","2510E","#429384"
"Folha de Laranjeira","2511E","#1D665B"
"Orvalho na Mata","2512E","#D8ECE0"
"Jardim Secreto","2513E","#C6EADC"
"Antídoto","2514E","#B7E6D4"
"Broto de Bambu","2515E","#8FD8BB"
"Sussurro","2516E","#3DC293"
"Duende","2517E","#07AE83"
"Floresta Amazônica","2518E","#0F7351"
"Cidreira","2519E","#E6EBE4"
"Mousse de Limão","2520E","#C5E5D8"
"Tempero Suave","2521E","#B7D9CB"
"Piquenique no Campo","2522E","#8EC3AF"
"Passeio no Parque","2523E","#73A695"
"Floresta de Esmeralda","2524E","#599981"
"Palmeira Imperial","2525E","#3A5D56"
"Prosperidade","2526E","#E3F0DF"
"Sombra da Floresta","2527E","#C2D8CC"
"Sais de Banho","2528E","#B1CFC5"
"Outono em Londres","2529E","#9BBCB1"
"Patê de Azeitona","2530E","#759389"
"Papel Crepom","2531E","#5F8173"
"Verde Caçador","2532E","#47594D"
"Reflexão no Parque","2533E","#DAF1E1"
"Verde Guache","2534E","#C9EAD7"
"Casa no Sítio","2535E","#B0E3C4"
"Jardim Oriental","2536E","#7CCB9C"
"Bala de Menta","2537E","#6ABC8B"
"Serpentina","2538E","#54AA79"
"Gramado da Montanha","2539E","#22754B"
"Verde Amanhecer","2540E","#E7F1E6"
